tx_id,is_fraud_risk,label,correct_action,fraud_posture,split
TX000001,0,legitimate,NONE,n/a,holdout
TX000002,0,legitimate,NONE,n/a,holdout
TX000003,0,legitimate,NONE,n/a,train
TX000004,0,legitimate,NONE,n/a,train
TX000005,0,legitimate,NONE,n/a,train
TX000006,0,merchant_error,CONCEDE_AND_FLAG_INTERNALLY,n/a,train
TX000007,0,merchant_error,CONCEDE_AND_FLAG_INTERNALLY,n/a,train
TX000008,0,legitimate,NONE,n/a,train
TX000009,0,legitimate,NONE,n/a,train
TX000010,1,friendly_fraud,CONTEST_WITH_EVIDENCE,n/a,holdout
TX000011,0,legitimate,NONE,n/a,holdout
TX000012,0,legitimate,NONE,n/a,holdout
TX000013,0,legitimate,NONE,n/a,train
TX000014,1,true_fraud,CONCEDE,obvious,train
TX000015,0,merchant_error,CONCEDE_AND_FLAG_INTERNALLY,n/a,train
TX000016,0,legitimate,NONE,n/a,train
TX000017,0,legitimate,NONE,n/a,train
TX000018,0,legitimate,NONE,n/a,train
TX000019,1,friendly_fraud,CONTEST_WITH_EVIDENCE,n/a,train
TX000020,0,legitimate,NONE,n/a,holdout
TX000021,1,true_fraud,CONCEDE,subtle_drain,holdout
TX000022,0,legitimate,NONE,n/a,holdout
TX000023,0,legitimate,NONE,n/a,train
TX000024,0,legitimate,NONE,n/a,train
TX000025,1,friendly_fraud,CONTEST_WITH_EVIDENCE,n/a,train
TX000026,0,legitimate,NONE,n/a,train
TX000027,0,legitimate,NONE,n/a,train
TX000028,0,legitimate,NONE,n/a,train
TX000029,0,legitimate,NONE,n/a,train
TX000030,0,legitimate,NONE,n/a,holdout
TX000031,1,true_fraud,CONCEDE,subtle_blend,holdout
TX000032,0,legitimate,NONE,n/a,holdout
TX000033,0,merchant_error,CONCEDE_AND_FLAG_INTERNALLY,n/a,train
TX000034,0,legitimate,NONE,n/a,train
TX000035,0,legitimate,NONE,n/a,train
TX000036,1,true_fraud,CONCEDE,obvious,train
TX000037,0,legitimate,NONE,n/a,train
TX000038,0,legitimate,NONE,n/a,train
TX000039,0,legitimate,NONE,n/a,train
TX000040,0,legitimate,NONE,n/a,holdout
TX000041,0,legitimate,NONE,n/a,holdout
TX000042,1,true_fraud,CONCEDE,obvious,holdout
TX000043,0,merchant_error,CONCEDE_AND_FLAG_INTERNALLY,n/a,train
TX000044,0,legitimate,NONE,n/a,train
TX000045,1,true_fraud,CONCEDE,obvious,train
TX000046,0,merchant_error,CONCEDE_AND_FLAG_INTERNALLY,n/a,train
TX000047,0,legitimate,NONE,n/a,train
TX000048,1,true_fraud,CONCEDE,obvious,train
TX000049,0,legitimate,NONE,n/a,train
TX000050,0,legitimate,NONE,n/a,holdout
TX000051,0,legitimate,NONE,n/a,holdout
TX000052,0,legitimate,NONE,n/a,holdout
TX000053,1,friendly_fraud,CONTEST_WITH_EVIDENCE,n/a,train
TX000054,1,true_fraud,CONCEDE,obvious,train
TX000055,0,legitimate,NONE,n/a,train
TX000056,0,legitimate,NONE,n/a,train
TX000057,0,merchant_error,CONCEDE_AND_FLAG_INTERNALLY,n/a,train
TX000058,0,legitimate,NONE,n/a,train
TX000059,0,legitimate,NONE,n/a,train
TX000060,0,legitimate,NONE,n/a,holdout
TX000061,0,legitimate,NONE,n/a,holdout
TX000062,0,legitimate,NONE,n/a,holdout
TX000063,0,legitimate,NONE,n/a,train
TX000064,0,legitimate,NONE,n/a,train
TX000065,0,legitimate,NONE,n/a,train
TX000066,1,friendly_fraud,CONTEST_WITH_EVIDENCE,n/a,train
TX000067,0,legitimate,NONE,n/a,train
TX000068,0,legitimate,NONE,n/a,train
TX000069,0,legitimate,NONE,n/a,train
TX000070,0,legitimate,NONE,n/a,holdout
TX000071,0,legitimate,NONE,n/a,holdout
TX000072,1,true_fraud,CONCEDE,subtle_blend,holdout
TX000073,0,legitimate,NONE,n/a,train
TX000074,0,legitimate,NONE,n/a,train
TX000075,0,legitimate,NONE,n/a,train
TX000076,0,legitimate,NONE,n/a,train
TX000077,0,legitimate,NONE,n/a,train
TX000078,0,legitimate,NONE,n/a,train
TX000079,0,legitimate,NONE,n/a,train
TX000080,0,legitimate,NONE,n/a,holdout
TX000081,0,legitimate,NONE,n/a,holdout
TX000082,1,true_fraud,CONCEDE,subtle_blend,holdout
TX000083,0,legitimate,NONE,n/a,train
TX000084,1,friendly_fraud,CONTEST_WITH_EVIDENCE,n/a,train
TX000085,0,legitimate,NONE,n/a,train
TX000086,0,legitimate,NONE,n/a,train
TX000087,0,legitimate,NONE,n/a,train
TX000088,0,legitimate,NONE,n/a,train
TX000089,0,legitimate,NONE,n/a,train
TX000090,0,legitimate,NONE,n/a,holdout
TX000091,0,legitimate,NONE,n/a,holdout
TX000092,0,legitimate,NONE,n/a,holdout
TX000093,1,true_fraud,CONCEDE,subtle_drain,train
TX000094,0,legitimate,NONE,n/a,train
TX000095,0,legitimate,NONE,n/a,train
TX000096,0,legitimate,NONE,n/a,train
TX000097,1,true_fraud,CONCEDE,obvious,train
TX000098,1,friendly_fraud,CONTEST_WITH_EVIDENCE,n/a,train
TX000099,0,legitimate,NONE,n/a,train
TX000100,0,legitimate,NONE,n/a,holdout
TX000101,0,legitimate,NONE,n/a,holdout
TX000102,0,legitimate,NONE,n/a,holdout
TX000103,0,legitimate,NONE,n/a,train
TX000104,0,legitimate,NONE,n/a,train
TX000105,0,legitimate,NONE,n/a,train
TX000106,0,merchant_error,CONCEDE_AND_FLAG_INTERNALLY,n/a,train
TX000107,0,legitimate,NONE,n/a,train
TX000108,0,legitimate,NONE,n/a,train
TX000109,0,legitimate,NONE,n/a,train
TX000110,0,legitimate,NONE,n/a,holdout
TX000111,0,legitimate,NONE,n/a,holdout
TX000112,0,legitimate,NONE,n/a,holdout
TX000113,0,legitimate,NONE,n/a,train
TX000114,0,legitimate,NONE,n/a,train
TX000115,0,legitimate,NONE,n/a,train
TX000116,0,legitimate,NONE,n/a,train
TX000117,0,legitimate,NONE,n/a,train
TX000118,1,true_fraud,CONCEDE,obvious,train
TX000119,0,merchant_error,CONCEDE_AND_FLAG_INTERNALLY,n/a,train
TX000120,0,legitimate,NONE,n/a,holdout
