account_id,timestamp,amount_inr,channel,counterparty_id,direction,tx_location_lat,tx_location_lon,tx_location_city,tx_location_state,tx_location_country
ACC00000,2026-07-20T22:02:00.195593,1703.01,WALLET,MER0028,DEBIT,,,,,
ACC00000,2026-06-10T14:20:46.325235,2448.15,UPI_ECOM,MER0013,DEBIT,,,,,
ACC00000,2026-07-29T08:09:10.423792,8836.63,UPI_ECOM,MER0008,DEBIT,,,,,
ACC00000,2026-06-05T10:05:51.642519,8636.93,CARD_ECOM,MER0010,DEBIT,,,,,
ACC00001,2026-07-13T23:37:01.205640,1104.1,CARD_ECOM,MER0012,DEBIT,,,,,
ACC00001,2026-08-23T17:33:23.001098,6640.61,CARD_ECOM,MER0009,DEBIT,,,,,
ACC00001,2026-08-24T14:28:10.610909,7862.15,CARD_ECOM,MER0030,DEBIT,,,,,
ACC00001,2026-08-24T12:00:59.915093,5582.66,CARD_ECOM,MER0012,DEBIT,,,,,
ACC00002,2026-07-01T17:57:32.962099,4270.77,CARD_ECOM,MER0013,DEBIT,,,,,
ACC00002,2026-08-12T05:30:45.865000,6263.49,CARD_POS,MER0015,DEBIT,,,,,
ACC00002,2026-07-08T21:21:44.351597,3620.65,CARD_ECOM,MER0005,DEBIT,,,,,
ACC00002,2026-07-05T19:16:50.665472,5909.04,CARD_ECOM,MER0005,DEBIT,,,,,
ACC00002,2026-06-04T18:16:49.807843,944.73,WALLET,MER0011,DEBIT,,,,,
ACC00002,2026-07-24T02:32:13.856631,2297.78,WALLET,MER0013,DEBIT,,,,,
ACC00002,2026-06-18T02:34:16.829125,2080.85,CARD_ECOM,MER0013,DEBIT,,,,,
ACC00002,2026-07-05T00:03:38.289983,4756.67,UPI_ECOM,MER0031,DEBIT,,,,,
ACC00003,2026-08-19T01:25:58.068115,1468.11,CARD_ECOM,MER0035,DEBIT,,,,,
ACC00003,2026-07-30T00:56:31.241910,6182.17,WALLET,MER0034,DEBIT,,,,,
ACC00003,2026-07-24T13:19:55.978627,3006.05,UPI_ECOM,MER0007,DEBIT,,,,,
ACC00003,2026-06-20T07:06:03.244170,767.77,WALLET,MER0030,DEBIT,,,,,
ACC00003,2026-08-29T15:29:51.753876,2778.34,CARD_ECOM,MER0034,DEBIT,,,,,
ACC00003,2026-08-21T21:11:12.712704,579.3,UPI_ECOM,MER0007,DEBIT,,,,,
ACC00003,2026-08-11T01:36:09.929522,2368.46,CARD_ECOM,MER0035,DEBIT,,,,,
ACC00003,2026-08-03T21:19:27.709656,7586.31,CARD_POS,MER0021,DEBIT,,,,,
ACC00003,2026-08-14T06:34:22.977961,5562.39,UPI_ECOM,MER0017,DEBIT,,,,,
ACC00003,2026-08-10T05:14:09.545662,1581.98,UPI_ECOM,MER0015,DEBIT,,,,,
ACC00003,2026-08-09T07:36:20.839273,6316.91,CARD_POS,MER0033,DEBIT,,,,,
ACC00004,2026-06-07T20:43:03.762375,3581.53,UPI_ECOM,MER0016,DEBIT,,,,,
ACC00004,2026-06-16T07:14:03.778487,2035.81,CARD_ECOM,MER0011,DEBIT,,,,,
